Notes	Source	Device	Type	Detection_Method	Cost
Battery: 24hr	Chromebook 1	Microbug	Audio	Voice, sound	100eb
Motion alert, battery 12hr	Chromebook 2	Spy Camera	Visual	Remote feed	150eb
Hacks unshielded devices	Virtual Front	GhostScanner	Netware	Signal trace	700eb
One use, disables local devices	Blackhand’s	EMP Grenade	Disabler	Area net/gear disrupt	400eb
Triggers silent alarm	Chromebook 1	Laser Tripwire	Alarm	Break beam	250eb
Requires access port	Core	Netwatch Tap	Netware	Data stream intercept	1200eb
Silent, 30min flight	Chromebook 3+4	Stealth Drone	Mobile	Remote video, audio	2600eb
Blocks audio recording	Wildside	White Noise Generator	Audio	Jams microphones	350eb
See through light cover	Chromebook 2	Thermal Camera	Visual	Heat signature	800eb
Requires paired device	Virtual Front	CryptoCell	Netware	Encrypted comms	1100eb
Embedded, 24hr battery	Chromebook 2	Tracker Dart	Tracking	GPS beacon	300eb
Finds active bugs, 10m	Core	Bug Detector	Countermeasure	Active scan	400eb
Disposable, 1 min	Blackhand’s	Sensor Grenade	Area	Detects movement/sound	450eb
Reusable, not against thermal	Chromebook 3+4	Optical Camouflage Sheet	Visual	Camouflage, blocks cameras	1800eb
Requires physical wire access	Chromebook 2	TapLine	Audio/Wire	Jacks phone/data line	220eb
